Cookie Name,Domain,Path,Value,SameSite,Secure,HttpOnly,Expires,Size,Type,Risk Level,Recommendations
_ga_L75R3DZV9J,.experience.com,/,GS2.1.s1749451079$o1$g0$t1749451079$j60$l0$h129723...,Lax,False,False,2026-07-14 12:07:59,68,Third-party,High,Cookie has very long expiry (>1 year); Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
trends-US,www.experience.com,/,"{""trendingLocations"":[""Los Angeles, CA"",""Miami, FL...",Lax,False,False,2025-06-10 12:07:59,258,First-party,Medium,Set Secure=true for cookies on HTTPS sites
d-a8e6,www.experience.com,/,3f81067a-1321-44dc-84f1-e46d3f550d33,Lax,False,False,2026-06-09 12:07:59,42,First-party,Medium,Set Secure=true for cookies on HTTPS sites
s-9da4,www.experience.com,/,4d5431da-52a8-4efc-b8fa-c7bd1d9efc56,Lax,False,False,2025-06-09 12:22:59,42,First-party,Medium,Set Secure=true for cookies on HTTPS sites
TDID,.adsrvr.org,/,c9a2e03e-7484-4685-a3a8-8ddf5af7eb22,None,True,False,2026-06-09 12:08:00,40,Third-party,Medium,Consider setting SameSite=Strict or Lax for CSRF protection; Third-party cookie - consider privacy implications
_gcl_au,.experience.com,/,1.1.2120090537.1749451080,Lax,False,False,2025-09-07 12:08:00,32,Third-party,Medium,Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
TDCPM,.adsrvr.org,/,CAEYBSABKAIyCwi0s5WL3cqTPhAFOAE.,None,True,False,2026-06-09 12:08:00,37,Third-party,Medium,Consider setting SameSite=Strict or Lax for CSRF protection; Third-party cookie - consider privacy implications
exp_vid,proapi.experience.com,/,2767b17387edd411b0b60bef8b396693d68fa7b36c2ac0511b...,None,True,True,2026-06-09 12:08:00,76,Third-party,Medium,Consider setting SameSite=Strict or Lax for CSRF protection; Third-party cookie - consider privacy implications
mf_cd919799-da8b-4f24-a254-ae6febcdf48a,.experience.com,/,||1749451081313||0||||0|0|11.52772|0|,Strict,False,False,Session,76,Third-party,Medium,Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
IDE,.doubleclick.net,/,AHWqTUkXRrQnWTY3PjibVp78ZOS3tHckamgKxkJ0u86lZo_7VR...,None,True,True,2026-07-14 12:08:01,67,Third-party,High,Cookie has very long expiry (>1 year); Consider setting SameSite=Strict or Lax for CSRF protection; Third-party cookie - consider privacy implications
_gid,.experience.com,/,GA1.2.995041743.1749451082,Lax,False,False,2025-06-10 12:08:01,30,Third-party,Medium,Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
_gat_UA-188463944-1,.experience.com,/,1,Lax,False,False,2025-06-09 12:09:01,20,Third-party,Medium,Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
_ga,.experience.com,/,GA1.1.1253295459.1749451080,Lax,False,False,2026-07-14 12:08:01,30,Third-party,High,Cookie has very long expiry (>1 year); Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
_ga_P08SZSRKDM,.experience.com,/,GS2.1.s1749451081$o1$g0$t1749451081$j60$l0$h120508...,Lax,False,False,2026-07-14 12:08:01,68,Third-party,High,Cookie has very long expiry (>1 year); Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
_fbp,.experience.com,/,fb.1.1749451081897.970388821953320772,Lax,False,False,2025-09-07 12:08:01,41,Third-party,Medium,Set Secure=true for cookies on HTTPS sites; Third-party cookie - consider privacy implications
ar_debug,px.ads.linkedin.com,/,1,None,True,True,2025-07-09 22:37:08,9,Third-party,Medium,Consider setting SameSite=Strict or Lax for CSRF protection; Third-party cookie - consider privacy implications
